index,name,status,group_year,movie_id
0,henry,t,2009,3213691
1,henry,t,2009,5016250
2,henry,t,2009,29446866
3,henry,t,1933,73488
4,henry,t,1933,73375
5,henry,t,1933,144774
6,henry,t,2003,197558
7,henry,t,2003,146947
8,henry,t,2003,1336308
9,henry,t,1961,4836072
10,henry,t,1961,18725026
11,henry,t,1961,22653289
12,henry,t,1989,64394
13,henry,t,1989,3217
14,henry,t,1989,685938
15,henry,i,2013,23252763
16,henry,i,2012,34224014
17,henry,i,1995,15313145
18,henry,i,1973,20138476
19,henry,i,1999,18813111
20,duke,t,2012,16352214
21,duke,t,2012,32636880
22,duke,t,2012,22814902
23,duke,i,1998,17120757
24,duke,i,2001,1139962
25,duke,i,2004,3581722
26,duke,i,1992,1913775
27,duke,i,2006,15453651
28,ash,t,2012,3112909
29,ash,t,2012,29399698
30,ash,t,1995,3217
31,ash,t,1995,2460704
32,ash,t,1995,1330432
33,ash,i,1979,23487440
34,ash,i,2004,9086113
35,ash,i,2002,549902
36,ash,i,2006,8438951
37,ash,i,2007,8796916
38,williams,i,2000,3955890
39,williams,i,2008,10542206
40,williams,i,2007,5017604
41,williams,i,2009,18454887
42,williams,i,1996,1494750
43,lord,i,2011,32636880
44,lord,i,2001,10157628
45,lord,i,2005,3208449
46,lord,i,2009,19308640
47,lord,i,2007,12850795
48,sheila,t,1979,747689
49,sheila,t,1979,10030059
50,sheila,t,1997,277149
51,sheila,t,1997,232795
52,sheila,t,1997,204839
53,sheila,b,1964,1748912
54,sheila,b,1964,1888433
55,sheila,b,1964,13130748
56,sheila,i,2010,28084941
57,sheila,i,1992,3217
58,sheila,i,2007,5101743
59,sheila,i,1995,54160
60,sheila,i,2006,2295405
61,arthur,t,1962,3650653
62,arthur,t,1962,413949
63,arthur,t,1962,932864
64,arthur,t,2010,23270459
65,arthur,t,2010,2654186
66,arthur,t,2010,858575
67,arthur,t,1981,872441
68,arthur,t,1981,164387
69,arthur,t,1981,920296
70,arthur,t,2004,667368
71,arthur,t,2004,667371
72,arthur,t,2004,667372
73,arthur,b,1929,12857910
74,arthur,b,1929,22278175
75,arthur,b,1929,24062687
76,arthur,i,1974,19701
77,arthur,i,2006,6791295
78,arthur,i,2007,16280232
79,arthur,i,1995,3030582
80,arthur,i,1992,15946694
81,leon,t,2012,29446866
82,leon,t,2012,31841233
83,leon,t,2012,26340083
84,leon,t,2006,780873
85,leon,t,2006,2969963
86,leon,t,2006,5551144
87,leon,i,1982,3746
88,leon,i,2001,5835745
89,leon,i,1987,1062223
90,leon,i,1994,2337370
91,leon,i,1996,1487312
92,rick,t,1950,5975630
93,rick,t,1950,16927051
94,rick,t,1942,57585
95,rick,t,1942,9126014
96,rick,t,1973,8316526
97,rick,t,1973,8359892
98,rick,t,1973,11457352
99,rick,i,1982,16083779
100,rick,i,2004,3447112
101,rick,i,1986,179825
102,rick,i,2008,14473137
103,rick,i,1999,231829
104,rachael,i,1982,3746
105,rachael,i,2011,28150124
106,rachael,i,2002,892031
107,rachael,i,2010,27202558
108,rachael,i,2005,7440348
109,roy,t,1937,23690950
110,roy,t,1937,26747613
111,roy,t,1937,24233189
112,roy,b,1945,6631386
113,roy,b,1945,5680026
114,roy,b,1945,18912832
115,roy,i,1982,10592906
116,roy,i,2007,17041756
117,roy,i,2012,30957333
118,roy,i,2005,11171532
119,roy,i,1977,146236
120,bryant,t,1984,3746
121,bryant,t,1984,45242
122,bryant,t,1984,30524
123,bryant,b,1990,31748550
124,bryant,b,1990,20535383
125,bryant,b,1972,26004841
126,bryant,b,1972,26166944
127,bryant,i,2003,564986
128,bryant,i,2007,9441132
129,bryant,i,1978,5873064
130,bryant,i,2005,7147117
131,bryant,i,1994,8336887
132,sebastian,t,2012,28648635
133,sebastian,t,2012,28370997
134,sebastian,t,2012,31532443
135,sebastian,t,1996,93559
136,sebastian,t,1996,8830252
137,sebastian,t,1996,12437827
138,sebastian,t,1989,301574
139,sebastian,t,1989,672934
140,sebastian,t,1989,8402917
141,sebastian,t,1957,24033813
